Nr,language,pov,original,gloss,translation,source,page,comments
512,Punjabi,adnominal,ó-ne</td><td>aap</td><td>akhiaa,he-ERG</td><td>INT</td><td>said,He himself said...,"Bhatia, T.K. (2000). Lexical Anaphors and Pronouns in Punjabi. In: Lust et al. (eds.), <i> Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton.",656,--
513,Punjabi,reflexive,xud/aapne</td><td>nuu</td><td>shiishe</td><td>vicc</td><td>vekniaa,INT</td><td>POSTP</td><td>mirror</td><td>in</td><td>vekhiaa,...(he) looked at himself in the mirror.,"Bhatia, T.K. (2000). Lexical Anaphors and Pronouns in Punjabi. In: Lust et al. (eds.), <i> Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton.",646,--
514,Punjabi,own,apNaa</td><td>kàr</td><td>sadaa</td><td>sukhaar,own</td><td>home</td><td>always</td><td>comfortable,One's (own) home is a paradise.,"Bhatia, T.K. (2000). Lexical Anaphors and Pronouns in Punjabi. In: Lust et al. (eds.), <i> Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton.",648,--
515,Telugu,adv exclusive,waaDu</td><td>(tana</td><td>maTuku)</td><td>tan-ee</td><td>ii</td><td>pani</td><td>ceyya</td><td>galaDu,he</td><td>(ANPH.POSS</td><td>as.for)</td><td>[ANPH-EMPH]=INT</td><td>this</td><td>work</td><td>can</td><td>do,He can do this work himself.,"Subbarao, K.V. & B.L. Murthy (2000). Lexical Anaphors and Pronouns in Telugu. In Lust et al. (eds.). <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>.",224,ANPH: anaphor
516,Tsakhur,adnominal,"žu-s&#772;-e</td><td>ma&#124;&#660;allim&#616;s&#772;e</td><td>d<sub>j</sub>a&#124;wXu</td><td>ha&#124;l<sub>j</sub>a&#660;as</td><td>p&#616;rmer,</td><td>z&#616;</td><td>ha&#124;l<sub>j</sub>a&#660;una",INT.1.OBL-ADESS-ELA</td><td>teacher.OBL.ADESS.ELA</td><td>not.can</td><td>solve.POT</td><td>problem.NOM</td><td>I.ERG</td><td>solved.it,"The teacher himself couldn't solve the problem, but I did.","Lyutikova, E. (2000). Reflexives and emphasis in Tsaxur. In Frajzyngier & Curl (eds.). <i>Reflexives - Forms and Functions</i>. Amsterdam: Benjamins.",228,--
517,Tsakhur,reflexive,i&#269;-e:</td><td>že-l-e</td><td>a&#124;qana</td><td>ha&#660;a,girl-ERG</td><td>REFL.OBL-SUPERESS-ELA</td><td>laugh</td><td>did,The girl is laughing at her(self).,"Lyutikova, E. (2000). Reflexives and emphasis in Tsaxur. In Frajzyngier & Curl (eds.). <i>Reflexives - Forms and Functions</i>. Amsterdam: Benjamins.",228,OBL: oblique; ELA: elative; SUPERESS: superessive (location)<br>local or discourse binding of the anaphor
518,Tsakhur,reflexive,rasul-e:</td><td>wuž-e:</td><td>wuž</td><td>getu,Rasul-ERG</td><td>INT-ERG</td><td>REFL.NOM</td><td>beat,Rasul beat himself.,"Lyutikova, E. (2000). Reflexives and emphasis in Tsaxur. In Frajzyngier & Curl (eds.). <i>Reflexives - Forms and Functions</i>. Amsterdam: Benjamins.",229,--
519,Tsakhur,reflexive,&#269;ož-e:</td><td>wuž</td><td>s&#616;Roca&#660;-as</td><td>bajram</td><td>razirawor,brother-ERG</td><td>REFL</td><td>awake-POT</td><td>Bajram</td><td>agrees,Bajram agrees that his brother wakes him (i.e. Bajram or some other person).,"Lyutikova, E. (2000). Reflexives and emphasis in Tsaxur. In Frajzyngier & Curl (eds.). <i>Reflexives - Forms and Functions</i>. Amsterdam: Benjamins.",228,long-distance or discourse bound use of <i>wuž</i>; local binding impossible due to real-world reasons?
520,Ancient Greek,reflexive,sýnoida</td><td>em-aut(o)-o:,I.am.aware</td><td>REFL.1-INT-DAT,I am aware of myself.,Bornemann & Risch (1978). <i>Griechische Grammatik</i>. Frankfurt: Diesterweg.,172,--
521,Ancient Greek,reflexive,gno:thi</td><td>s(e)-auto-n,know.IMP</td><td>REFL.2-INT-ACC,Know yourself!,Bornemann & Risch (1978). <i>Griechische Grammatik</i>. Frankfurt: Diesterweg.,172,--
522,Ancient Greek,adnominal,autoì</td><td>páreisin,INT.PL</td><td>they.are.here,They themselves are here.,Bornemann & Risch (1978). <i>Griechische Grammatik</i>. Frankfurt: Diesterweg.,60,--
524,Ancient Greek,adnominal,ho</td><td>hyiòs</td><td>autós,ART</td><td>son</td><td>INT.NOM,the son himself,Bornemann & Risch (1978). <i>Griechische Grammatik</i>. Frankfurt: Diesterweg.,60,--
525,Ancient Greek,reflexive,élegon</td><td>hóti</td><td>oudèn</td><td>àn</td><td>hê:tton</td><td>spheîs</td><td>agágoien</td><td>tè:n</td><td>stratian</td><td>è:</td><td>Xenophô:n,they.said</td><td>that</td><td>nothing</td><td>PART</td><td>less</td><td>REFL.3PL</td><td>lead.OPT</td><td>ART</td><td>army</td><td>than</td><td>Xenophon,They said that they could lead the army no less than Xenophon.,Bornemann & Risch (1978). <i>Griechische Grammatik</i>. Frankfurt: Diesterweg.,173,long-distance bound use of reflexive
526,Tarascan,adv exclusive,Juan</td><td>u-kuarhe-sti</td><td>kumánchikua,Juan</td><td>make-INT-PST.3.IND</td><td>house,Juan built his house himself.,Volker Gast (f.w.),-,IND: indicative; PST: past tense
527,Tarascan,own,Francisco</td><td>jatsísti</td><td>ya</td><td>ímeri</td><td>ktá,Francisco</td><td>has</td><td>already</td><td>own</td><td>house,Francisco already has a house of his own.,Volker Gast (f.w.),-,--
528,Tarascan,reflexive,Juan</td><td>erati-kuri-sti</td><td>ma</td><td>espejo,Juan</td><td>see-REFL-PST.3.IND</td><td>in</td><td>mirror,Juan saw himself in the mirror.,Volker Gast (f.w.),-,IND: indicative; PST: past tense
1,Irish Gaelic,adnominal,bhí</td><td>an</td><td>gleann</td><td>féin</td><td>uaigneach,was</td><td>ART</td><td>glen</td><td>INT</td><td>lonely,The glen itself was lonely.,"Nolan, Brian (2001). Reflexive and Reciprocal Constructions in Modern Irish. MS. Institute of Technology Blanchardstown, Dublin.",--,--
3,Irish Gaelic,adv exclusive,osclaím</td><td>féin</td><td>mo</td><td>chuid</td><td>litreacha</td><td>i&nbsp;gcónaí,open.1SG</td><td>INT</td><td>my</td><td>portion</td><td>letters.GEN.PL</td><td>always,I always open my letters myself.,questionnaire (source of information: Dónall P.Ó Baoill),--,<i>mé féin</i> instead of <i>féin</i> is used if it occurs in a position following the object
4,Irish Gaelic,adv inclusive,"an</td><td>dtabharfá</td><td>deich</td><td>bpunt</td><td>ar</td><td>iasacht</td><td>dom?</td><td>--tá</td><td>brón</td><td>orm,</td><td>ach</td><td>tá</td><td>[mé</td><td>féin]</td><td>gann</td><td>in</td><td>airgead","QUEST</td><td>would.give</td><td>ten</td><td>pound</td><td>on</td><td>loan</td><td>to-me</td><td>--is</td><td>sorry</td><td>on-me,</td><td>but</td><td>is</td><td>[I</td><td>INT]</td><td>short</td><td>in</td><td>money","Could you lend me ten pounds? --I'm sorry, but I'm a little short myself.",questionnaire (source of information: Dónall P.Ó Baoill),-,--
5,Irish Gaelic,reflexive,is</td><td>minic</td><td>Max</td><td>ag</td><td>caint</td><td>leis</td><td>féin,is</td><td>often</td><td>Max</td><td>at</td><td>talking</td><td>with.[him</td><td>INT]=REFL,Max often talks to himself.,questionnaire (source of information: Dónall P.Ó Baoill),-,"<i>leis</i>: <i>le</i> + <i>sé</i>, fused form of preposition and pronoun; reflexive form consists of pronoun plus féin"
6,Irish Gaelic,adnominal,tá</td><td>{sé</td><td>féin/seisean</td><td>é</td><td>féin}</td><td>ag</td><td>cruinniú</td><td>faoi</td><td>láthair,is</td><td>{he</td><td>INT/(he.EMPH</td><td>him</td><td>INT}</td><td>at</td><td>meeting</td><td>at/under</td><td>present,He himself is in a meeting right now.,questionnaire (source of information: Dónall P.Ó Baoill),-,--
7,Irish Gaelic,adv exclusive,é</td><td>féin</td><td>féin</td><td>a</td><td>rinne</td><td>é,him</td><td>INT</td><td>INT</td><td>that</td><td>did</td><td>it,He did it all by himself.,questionnaire (source of information: Dónall P.Ó Baoill),-,--
8,Arabic,adv exclusive,ana</td><td>bagheet</td><td>aruu&#295;</td><td>ashuuf</td><td>il-&#295;aadtha</td><td>bi</td><td></td><td>nafs-i,I</td><td>wanted</td><td>go</td><td>see</td><td>ART-accident</td><td>INSTR</td><td></td><td>INT-POSS.1SG,I wanted to go and see the accident myself.,"Holes, Clive (1990). <i>Gulf Arabic</i>. London: Routledge.",76,Gulf Arabic
9,Turkish,adv inclusive,maalesef</td><td>bunu</td><td>kendi-m</td><td>de</td><td>bil-mi-yor-um,Unfortunately</td><td>that</td><td>INT-POSS.1SG</td><td>too</td><td>know-NEG-PRS-1SG,Unfortunately I don't know that myself.,questionnaire (source of information: Münevver Özkurt),-,--
10,Turkish,reflexive,Paul</td><td>ve</td><td>Maria</td><td>kendi-ler-i-ne</td><td>hayran,Paul</td><td>and</td><td>Mary</td><td>REFL-3PL-POSS-DAT</td><td>admire,Paul and Maria admire themselves.,questionnaire (source of information: Münevver Özkurt),-,--
11,Turkish,scalar focus particle,pazar_günü</td><td>bile</td><td>çal&#305;&#351;-ma-m</td><td>laz&#305;m,sunday</td><td>even</td><td>work-VERBNOM-POSS.1SG</td><td>necessary,Even on Sunday I have to work.,questionnaire (source of information: Münevver Özkurt),-,--
12,Turkish,adnominal,kendi-m</td><td>ve</td><td>Paul</td><td>Iskenderplatz&#146;-da</td><td>in-dik,INT-1.SG</td><td>and</td><td>Paul</td><td>Alexanderplatz-LOC</td><td>get.off-PAST.1PL,Paul and myself got off at Alexanderplatz.,questionnaire (source of information: Münevver Özkurt),-,--
13,Russian,adnominal,direktor</td><td>sam</td><td>budet</td><td>govorit’</td><td>s</td><td>nami,director</td><td>INT.MASC.SG</td><td>will</td><td>speak</td><td>with</td><td>us,The director himself will talk to us.,questionnaire (anonymous source informant),-,--
14,French,adnominal,dans</td><td>l&#146;-oasis</td><td>même</td><td>[il&nbsp;y&nbsp;a]</td><td>assez</td><td>d&#146;eau,in</td><td>ART-oasis</td><td>INT</td><td>there.is</td><td>enough</td><td>PRTT-water,In the oasis itself there is enough water.,questionnaire (anonymous source informant),-,PRTT: partitive article <i>de</i>
15,French,adnominal,le</td><td>ministre</td><td>lui-même</td><td>nous</td><td>recevra,ART</td><td>minister</td><td>he-INT</td><td>us</td><td>will.welcome,The minister himself will welcome us.,questionnaire (anonymous source informant),-,--
16,French,adv exclusive,j&#146;-ouvre</td><td>mes</td><td>lettres</td><td>moi-même,I-open</td><td>my</td><td>letters</td><td>I-INT,I open my letters myself.,questionnaire (anonymous source informant),-,<i>même</i> is phonologically dependent on a preceding nominal; therefore AVE combines a non-clitic pronoun and <i>même</i>
19,Lithuanian,adnominal,mùs</td><td>priims</td><td>pàts</td><td>direktorius,us</td><td>will.welcome</td><td>INT.MASC.SG.NOM</td><td>director,The director himself will welcome us.,questionnaire (anonymous source informant),-,---
20,Lithuanian,adnominal,paciamè</td><td>universitete</td><td>restorano</td><td>n&#279;ra,INT.MASC.SG.LOC</td><td>university</td><td>restaurant.SG.GEN</td><td>not.be,There is no restaurant in the university itself.,questionnaire (anonymous source informant),-,--
21,Lithuanian,reflexive,jìs</td><td>perka</td><td>sáu</td><td>kn&#7929;g&#261;,he</td><td>buy</td><td>REFL.DAT</td><td>book,He is buying himself a book.,"Senn, Alfred (1966). Handbuch der Litauischen Sprache. Band I: Grammatik. Heidelberg: Carl Winter Universitätsverlag.",189,--
22,Lithuanian,adnominal,Olgos</td><td>ryras</td><td>dirba</td><td>Potsdame.</td><td>Patì</td><td>Olga</td><td>dirba</td><td>Berlyne,Olga.GEN</td><td>husband</td><td>works</td><td>Potsdam</td><td>INT.FEM.SG.NOM</td><td>Olga </td><td>works</td><td>Berlin,Olga's husband works in Potsdam. Olga herself works in Berlin.,questionnaire (anonymous source informant),-,--
23,Lithuanian,adv exclusive,man</td><td>skirtus</td><td>laiškus</td><td>atpl&#279;šiu</td><td>visuomet</td><td>aš</td><td>pàts,me</td><td>alloted.PART</td><td>letters</td><td>tear.open</td><td>always</td><td>I</td><td>INT.MASC.SG.NOM,I always open my letters myself.,questionnaire (anonymous source informant),-,--
24,Lithuanian,adv exclusive,kino</td><td>žvaigžde</td><td>ne</td><td>pàts</td><td>paraše</td><td>savo</td><td>autobiografij&#261;,cinema</td><td>star</td><td>NEG</td><td>INT.MASC.SG.NOM</td><td>wrote</td><td>REFL.GEN(POSS)</td><td>autobiography,The movie star did not write his autobiography himself.,questionnaire (anonymous source informant),-,--
25,Arabic,adnominal,Maryam</td><td>hiya</td><td>al-karam-u</td><td>&#660;ayn-u-hu,Mary</td><td>she</td><td>ART-generosity-NOM</td><td>INT-NOM-POSS.3SG,Mary is generosity itself.,questionnaire (source of information: Mohammed Nekrumi),-,"<i>&#660;ayn</i>: INT, lit. <i>eye</i>; so-called 'quasi-superlative' use of intensifiers"
26,Dutch,scalar focus particl,zelfs</td><td>&#146;s</td><td>zondags</td><td>moet</td><td>ik</td><td>werken,even</td><td>PREP</td><td>sunday</td><td>must</td><td>I</td><td>work,Even on sundays I have to work.,questionnaire (anonymous source informant),-,--
33,Polish,adnominal,dyrektor</td><td>sam</td><td>bedzie</td><td>z</td><td>nami</td><td>rozmawial,director</td><td>INT.MASC.SG.NOM</td><td>will</td><td>with</td><td>us</td><td>talk,The director himself will talk to us.,questionnaire (Anna Porchawka),-,--
34,Russian,adv exclusive,Ol&#146;ga</td><td>u&#269;it</td><td>svoix</td><td>detej</td><td>sama,Olga</td><td>teaches</td><td>her</td><td>children</td><td>INT.FEM.SG,Olga teaches her children herself.,questionnaire (anonymous source informant),-,--
35,Russian,adv exclusive,etu</td><td>knigu</td><td>napisal</td><td>ne</td><td>sam</td><td>prezident,this.ACC</td><td>book.ACC</td><td>wrote</td><td>not</td><td>INT.MASC.SG</td><td>president,The president didn't write this book himself.,questionnaire (anonymous source informant),--,--
36,Spanish,adnominal,este</td><td>niño</td><td>es</td><td>el</td><td>mismísimo</td><td>diabolo,this</td><td>child</td><td>is</td><td>ART</td><td>INT(SUPERLATIVE)</td><td>devil,This child is the devil himself.,questionnaire (anonymous source informant),-,<i>mismísimo</i>: superlative (elative) of <i>mismo</i>
37,Spanish,adnominal,"el</td><td>marido</td><td>de</td><td>Olga</td><td>trabaja</td><td>en</td><td>Potsdam,</td><td>pero</td><td>la</td><td>propia</td><td>Olga</td><td>trabaja</td><td>en</td><td>Berlin","the</td><td>husband</td><td>of</td><td>Olga</td><td>works</td><td>in</td><td>Potsdam,</td><td>but</td><td>ART</td><td>INT</td><td>Olga</td><td>works</td><td>in</td><td>Berlin","Olga's husband works in Potsdam, but Olga herself works in Berlin.",questionnaire (anonymous source informant),-,--
38,Spanish,own,tiene</td><td>chofer</td><td>proprio,s/he.has</td><td>chauffeur</td><td>own,S/he's got a chauffeur of his/her own.,questionnaire (anonymous source informant),-,--
39,Spanish,adv exclusive,yo</td><td>hago</td><td>mis</td><td>propias</td><td>fotos,I</td><td>take</td><td>my</td><td>own</td><td>pictures,I take my own pictures.,questionnaire (anonymous source informant),-,--
40,Spanish,adnominal,el</td><td>director</td><td>en</td><td>persona</td><td>[va&nbsp;a&nbsp;hablar]</td><td>con</td><td>nosotros,the</td><td>director</td><td>in</td><td>person</td><td>[willl.talk]</td><td>with</td><td>us,The director himself will talk to us.,questionnaire (anonymous source informant),-,--
41,Spanish,adnominal,tengo</td><td>una</td><td>cita</td><td>con</td><td>el</td><td>director</td><td>en</td><td>persona</td><td>y</td><td>no</td><td>con</td><td>su</td><td>adjunto,I.have</td><td>an</td><td>appointment</td><td>with</td><td>ART</td><td>director</td><td>in</td><td>person</td><td>and</td><td>not</td><td>with</td><td>his</td><td>secretary,"I have an appointment with the director himself, not with his secretary.",questionnaire (anonymous source informant),-,--
42,Swedish,adnominal,barn-et</td><td>själv(t)</td><td>sa</td><td>ingenting,child-ART</td><td>INT</td><td>said</td><td>nothing,The child itself said nothing.,"Holmes, Philip and Ian Hinchliffe (1994). <i>Swedish. A Comprehensive Grammar</i>. London: Routledge.",146,"<i>självt</i>: neuter form, agrees with gender of <i>barn</i> (<i>child</i>); masculine agreement is also possible"
43,Swedish,adnominal,hon</td><td>är</td><td>godheten</td><td>själv,she</td><td>is</td><td>kindness.ART</td><td>INT,She is kindness itself.,"Holmes, Philip and Ian Hinchliffe (1994). <i>Swedish. A Comprehensive Grammar</i>. London: Routledge.",146,---
44,Italian,adnominal,Il</td><td>marito</td><td>di</td><td>Olga</td><td>lavora</td><td>a</td><td>Potsdam.</td><td>Olga</td><td>stessa</td><td>lavora</td><td>a</td><td>Berlino,the</td><td>husband</td><td>of</td><td>Olga</td><td>works</td><td>in</td><td>Potsdam.</td><td>Olga</td><td>INT.FEM</td><td>works</td><td>in</td><td>Berlin,Olga's husband works in Potsdam. Olga herself works in Berlin.,questionnaire (anonymous source informant),-,--
45,Italian,own,sono</td><td>proprio</td><td>i</td><td>vostri</td><td>bambini?,are</td><td>own</td><td>ART</td><td>your</td><td>children,Are these your own children?,questionnaire (anonymous source informant),-,--
46,Italian,own,questa</td><td>casa</td><td>me</td><td>la</td><td>[sono</td><td>costruita]</td><td>proprio</td><td>con</td><td>le</td><td>mie</td><td>mani,this</td><td>house</td><td>to.me</td><td>it</td><td>[I.have</td><td>built]</td><td>really</td><td>with</td><td>ART</td><td>my</td><td>hands,I built this house with my own hands.,questionnaire (anonymous source informant),-,--
47,Arabic,adnominal,al-mud&#299;r-u</td><td>nafs-u-hu</td><td>sayastaqbilun&#257;,ART-director-NOM</td><td>INT-NOM-POSS.3.SG</td><td>he.will.welcome.us.,The director himself will welcome us.,questionnaire (source of information: Mohammed Nekrumi),-,--
48,Arabic,adv exclusive,ar-ra&#660;is-u</td><td>katab-a</td><td>al-kit&#257;b-a</td><td>bi</td><td>nafs-i-hi,ART-president-NOM</td><td>wrote-3.SG</td><td>ART-book-ACC</td><td>INSTR</td><td>INT-GEN-POSS.3.SG.M,The President wrote the book himself.,questionnaire (source of information: Mohammed Nekrumi),-,Egyptian Arabic
49,Arabic,scalar focus particle,al-gar-u</td><td>nafs-u-hu</td><td>ya-rif-u-dalika,ART-neighbour-NOM</td><td>EVEN-NOM-POSS.3.SG</td><td>3.SG-knows-IMPF-that,Even the neighbour knows about it.,"Holes, Clive (1990). <i>Gulf Arabic</i>. London: Routledge.",78,--
50,Bengali,adnominal,n&#596;yon-&#216;</td><td>nije-&#216;</td><td>jabe,Nayan-NOM</td><td>INT-NOM</td><td>will.go,Nayan himself will go.,"Sengupta, G. (2000). Lexical anaphors and pronouns in Bangla. In Lust et al. (eds.), <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton de Gruyter.",282,--
51,Bengali,adv exclusive,toma-ke</td><td>nije-ke</td><td>jete</td><td>h&#596;be,you-DAT.SG</td><td>INT-DAT.SG</td><td>go</td><td>will.be,You will have to go yourself.,"Sengupta, G. (2000). Lexical anaphors and pronouns in Bangla. In Lust et al. (eds.), <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton de Gruyter.",282,--
52,Bengali,adv exclusive,n&#596;yon-&#216;</td><td>chobi-&#355;a</td><td>nije-&#216;</td><td>nije-&#216;</td><td>e&#771;keche,Nayan-NOM</td><td>picture-ACC</td><td>INT-NOM</td><td>INT-NOM</td><td>has.drawn,Nayan has drawn the picture by himself.,"Sengupta, G. (2000). Lexical anaphors and pronouns in Bangla. In Lust et al. (eds.), <i>Lexical Anaphors and Pronouns in Selected South Asian Languages</i>. Berlin: Mouton de Gruyter.",284,&lt;&#355;&gt;: voiceless retroflex plosive
65,Korean,adnominal,Olga</td><td>casin-eun</td><td>Berlineso</td><td>il</td><td>ha(n)da,Olga</td><td>INT-NOM</td><td>Berlin</td><td>in</td><td>works,Olga herself works in Berlin.,Moon Seung Hyun (p.c.),-,--
